	set1_id	set1_country	set1_city	set2_id	set2_country	set2_city	set1_orgname_with_city	set2_orgname_with_city	set1_tokens	set2_tokens	similarity	id_match
25	60189588	Australia	Canberra	60189937	Australia	Canberra	The Canberra Business School, Canberra	The School of Business, Canberra	canberra|business|school|canberra	school|business|canberra	1.0	False
26	60189937	Australia	Canberra	60189588	Australia	Canberra	The School of Business, Canberra	The Canberra Business School, Canberra	school|business|canberra	canberra|business|school|canberra	1.0	False
27	60206606	Iran	Tehran	60171619	Iran	Tehran	School of Allied Medical Sciences, Tehran	School of Allied Medical Sciences, Tehran	school|allied|medical|sciences|tehran	school|allied|medical|sciences|tehran	1.0	False
28	60206586	Iran	Tehran	60171613	Iran	Tehran	School of Advanced Technologies in Medicine, Tehran	School of Advanced Technologies in Medicine, Tehran	school|advanced|technologies|medicine|tehran	school|advanced|technologies|medicine|tehran	1.0	False
29	60199291	Iceland	Reykjavik	60199293	Iceland	Reykjavik	School of Social Sciences, Reykjavik	School of Social Sciences, Reykjavik	school|social|sciences|reykjavik	school|social|sciences|reykjavik	1.0	False
30	60206605	Iran	Tehran	60171626	Iran	Tehran	School of Public Health, Tehran	School of Public Health, Tehran	school|public|health|tehran	school|public|health|tehran	1.0	False
31	60206596	Iran	Tehran	60171627	Iran	Tehran	School of Nursing & Midwifery, Tehran	School of Nursing and Midwifery, Tehran	school|nursing|midwifery|tehran	school|nursing|midwifery|tehran	1.0	False
32	60206596	Iran	Tehran	60171627	Iran	Tehran	School of Nursing & Midwifery, Tehran	School of Nursing Midwifery, Tehran	school|nursing|midwifery|tehran	school|nursing|midwifery|tehran	1.0	False
33	60199293	Iceland	Reykjavik	60199291	Iceland	Reykjavik	School of Social Sciences, Reykjavik	School of Social Sciences, Reykjavik	school|social|sciences|reykjavik	school|social|sciences|reykjavik	1.0	False
34	60199589	Hong Kong	Hong Kong	60183196	Hong Kong	Hong Kong	School of Chinese Medicine, Hong Kong	School of Chinese Medicine, Hong Kong	school|chinese|medicine|hong|kong	school|chinese|medicine|hong|kong	1.0	False
35	60210993	France	Toulouse	60024767	France	Toulouse	Centre d'Etudes Spatiales de la Biosphère, Toulouse	Centre d'Etudes Spatiales de la Biosphère, Toulouse	centre|d|etudes|spatiales|de|la|biosph|re|toulouse	centre|d|etudes|spatiales|de|la|biosph|re|toulouse	1.0	False
36	60014636	Japan	Tokyo	60310505	Japan	Tokyo	Kyowa Hakko Kirin Co., Ltd, Tokyo	Kyowa Hakko Kirin Co Ltd, Tokyo	kyowa|hakko|kirin|tokyo	kyowa|hakko|kirin|tokyo	1.0	False
37	60010471	Japan	Tsukuba	60031513	Japan	Tsukuba	National Institute of Agrobiological Resources, Tsukuba	National Institute of Agrobiological Resources, Tsukuba	national|institute|agrobiological|resources|tsukuba	national|institute|agrobiological|resources|tsukuba	1.0	False
38	60007843	United States	Albuquerque	60014682	United States	Albuquerque	Sandia National Laboratories, Albuquerque	Sandia National Laboratories, Albuquerque	sandia|national|laboratories|albuquerque	sandia|national|laboratories|albuquerque	1.0	False
39	60014682	United States	Albuquerque	60007843	United States	Albuquerque	Sandia National Laboratories, Albuquerque	Sandia National Laboratories, Albuquerque	sandia|national|laboratories|albuquerque	sandia|national|laboratories|albuquerque	1.0	False
40	60003277	Canada	Nanaimo	60101614	Canada	Nanaimo	Malaspina University College, Nanaimo	Malaspina University-College, Nanaimo	malaspina|university|college|nanaimo	malaspina|university|college|nanaimo	1.0	False
41	60008136	United States	Cambridge	60120751	United Kingdom	Cambridge	Cambridge NeuroScience, Inc., Cambridge	Cambridge Neuroscience, Cambridge	cambridge|neuroscience|cambridge	cambridge|neuroscience|cambridge	1.0	False
42	60002784	Japan	Tokyo	60107462	Japan	Tokyo	Sophia, Tokyo	Sophia Co.,Ltd., Tokyo	sophia|tokyo	sophia|tokyo	1.0	False
43	60002354	Japan	Tokyo	60172622	Japan	Tokyo	Faculty of Medicine, Tokyo	Faculty of Medicine, Tokyo	faculty|medicine|tokyo	faculty|medicine|tokyo	1.0	False
44	60008708	Egypt	Alexandria	60273121	Egypt	Alexandria	Faculty of Engineering, Alexandria	Faculty of Engineering, Alexandria	faculty|engineering|alexandria	faculty|engineering|alexandria	1.0	False
45	60009418	Chile	Santiago	60212030	Chile	Santiago	Facultad de Medicina, Santiago	Facultad de Medicina, Santiago	facultad|de|medicina|santiago	facultad|de|medicina|santiago	1.0	False
46	60002575	Egypt	Cairo	60216991	Egypt	Cairo	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	faculty|engineering|cairo	faculty|engineering|cairo	1.0	False
47	60002575	Egypt	Cairo	60273705	Egypt	Cairo	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	faculty|engineering|cairo	faculty|engineering|cairo	1.0	False
48	60002575	Egypt	Cairo	60274955	Egypt	Cairo	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	faculty|engineering|cairo	faculty|engineering|cairo	1.0	False
49	60002575	Egypt	Cairo	60274264	Egypt	Cairo	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	faculty|engineering|cairo	faculty|engineering|cairo	1.0	False
50	60002575	Egypt	Cairo	60273331	Egypt	Cairo	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	faculty|engineering|cairo	faculty|engineering|cairo	1.0	False
51	60002575	Egypt	Cairo	60273602	Egypt	Cairo	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	faculty|engineering|cairo	faculty|engineering|cairo	1.0	False
52	60002575	Egypt	Cairo	60278283	Egypt	Cairo	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	faculty|engineering|cairo	faculty|engineering|cairo	1.0	False
53	60012469	United States	Chicago	60015579	United States	Chicago	Saint Xavier University, Chicago	Saint Xavier University Chicago, Chicago	saint|xavier|university|chicago	saint|xavier|university|chicago|chicago	1.0	False
54	60015323	Egypt	Cairo	60024697	Egypt	Cairo	Faculty of Medicine, Cairo	Faculty of Medicine, Cairo	faculty|medicine|cairo	faculty|medicine|cairo	1.0	False
55	60015323	Egypt	Cairo	60020436	Egypt	Cairo	Faculty of Medicine, Cairo	Faculty of Medicine, Cairo	faculty|medicine|cairo	faculty|medicine|cairo	1.0	False
56	60015323	Egypt	Cairo	60274270	Egypt	Cairo	Faculty of Medicine, Cairo	Faculty of Medicine, Cairo	faculty|medicine|cairo	faculty|medicine|cairo	1.0	False
57	60007226	Egypt	Mansoura	60273567	Egypt	Mansoura	Faculty of Medicine, Mansoura	Faculty of Medicine, Mansoura	faculty|medicine|mansoura	faculty|medicine|mansoura	1.0	False
58	60004782	Egypt	Cairo	60216981	Egypt	Cairo	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	faculty|pharmacy|cairo	faculty|pharmacy|cairo	1.0	False
59	60004782	Egypt	Cairo	60274265	Egypt	Cairo	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	faculty|pharmacy|cairo	faculty|pharmacy|cairo	1.0	False
60	60004782	Egypt	Cairo	60273371	Egypt	Cairo	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	faculty|pharmacy|cairo	faculty|pharmacy|cairo	1.0	False
61	60004782	Egypt	Cairo	60273712	Egypt	Cairo	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	faculty|pharmacy|cairo	faculty|pharmacy|cairo	1.0	False
62	60004782	Egypt	Cairo	60273709	Egypt	Cairo	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	faculty|pharmacy|cairo	faculty|pharmacy|cairo	1.0	False
63	60015579	United States	Chicago	60012469	United States	Chicago	Saint Xavier University Chicago, Chicago	Saint Xavier University, Chicago	saint|xavier|university|chicago|chicago	saint|xavier|university|chicago	1.0	False
64	60013786	Iran	Tehran	60018219	Iran	Tehran	Infectious Diseases and Tropical Medicine Research Center Joundishapour, Tehran	Infectious Diseases and Tropical Medicine Research Center Joundishapour, Tehran	infectious|diseases|tropical|medicine|research|center|joundishapour|tehran	infectious|diseases|tropical|medicine|research|center|joundishapour|tehran	1.0	False
65	60009535	United States	Chicago	60029867	United States	Chicago	Roosevelt University, Chicago	Roosevelt University Chicago, Chicago	roosevelt|university|chicago	roosevelt|university|chicago|chicago	1.0	False
66	60008581	United States	Fremont	60297862	United States	Fremont	Abgenix, Inc., Fremont	Abgenix Inc, Fremont	abgenix|fremont	abgenix|fremont	1.0	False
67	60009742	United States	Burlington	60000856	United States	Burlington	Medical Center Hospital of Vermont, Burlington	Medical Center Hospital of Vermont, Burlington	medical|center|hospital|vermont|burlington	medical|center|hospital|vermont|burlington	1.0	False
68	60010328	Brazil	Santa Luiza	60004200	Brazil	Santa Luiza	Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria, Escola de Medicina, Santa Luiza	Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria, Santa Luiza	escola|superior|de|ciencias|da|santa|casa|de|misericordia|de|vitoria|escola|de|medicina|santa|luiza	escola|superior|de|ciencias|da|santa|casa|de|misericordia|de|vitoria|santa|luiza	0.9534625892455924	False
69	60000856	United States	Burlington	60009742	United States	Burlington	Medical Center Hospital of Vermont, Burlington	Medical Center Hospital of Vermont, Burlington	medical|center|hospital|vermont|burlington	medical|center|hospital|vermont|burlington	1.0	False
70	60004200	Brazil	Santa Luiza	60010328	Brazil	Santa Luiza	Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria, Santa Luiza	Escola Superior de Ciencias da Santa Casa de Misericordia de Vitoria, Escola de Medicina, Santa Luiza	escola|superior|de|ciencias|da|santa|casa|de|misericordia|de|vitoria|santa|luiza	escola|superior|de|ciencias|da|santa|casa|de|misericordia|de|vitoria|escola|de|medicina|santa|luiza	0.9534625892455924	False
71	60009820	Not Define (xd)		60023967	Not Define (xd)		Institute of Protein Research, 	Institute for Protein Research, 	institute|protein|research	institute|protein|research	1.0	False
72	60003064	United States	San Antonio	60019347	United States	San Antonio	Institute for Drug Development San Antonio, San Antonio	Institute for Drug Development, San Antonio	institute|drug|development|san|antonio|san|antonio	institute|drug|development|san|antonio	1.0	False
73	60013823	Spain	Madrid	60016890	Spain	Madrid	Hospital Materno Infantil, Madrid	Hospital Materno-Infantil, Madrid	hospital|materno|infantil|madrid	hospital|materno|infantil|madrid	1.0	False
74	60004073	Not Define (xd)		60001507	Not Define (xd)		Institute of Genetics, 	Institute for Genetics, 	institute|genetics	institute|genetics	1.0	False
75	60014779	Not Define (xd)		60022266	Not Define (xd)		Institute of Immunology, 	Institute for Immunology, 	institute|immunology	institute|immunology	1.0	False
76	60001507	Not Define (xd)		60004073	Not Define (xd)		Institute for Genetics, 	Institute of Genetics, 	institute|genetics	institute|genetics	1.0	False
77	60012870	Germany	Bonn	60010691	Germany	Bonn	International Max Planck Research School on Moduli Spaces, Bonn	International Max Planck Research School for Moduli Spaces, Bonn	international|max|planck|research|school|moduli|spaces|bonn	international|max|planck|research|school|moduli|spaces|bonn	1.0	False
78	60010691	Germany	Bonn	60012870	Germany	Bonn	International Max Planck Research School for Moduli Spaces, Bonn	International Max Planck Research School on Moduli Spaces, Bonn	international|max|planck|research|school|moduli|spaces|bonn	international|max|planck|research|school|moduli|spaces|bonn	1.0	False
79	60004394	United States	Santa Clara	60320696	United States	Santa Clara	Symyx Technologies, Santa Clara	Symyx Technologies, Inc, Santa Clara	symyx|technologies|santa|clara	symyx|technologies|santa|clara	1.0	False
80	60000104	United States	Cambridge	60313238	United States	Cambridge	Genetics Institute - Cambridge, Cambridge	Genetics Institute, Inc., Cambridge	genetics|institute|cambridge|cambridge	genetics|institute|cambridge	1.0	False
81	60013823	Spain	Madrid	60016890	Spain	Madrid	Maternal and child Hospital, Madrid	Maternal and child Hospital, Madrid	maternal|child|hospital|madrid	maternal|child|hospital|madrid	1.0	False
82	60006853	United States	North Kansas City	60294515	United States	North Kansas City	Cerner Corporation, North Kansas City	Cerner Corporation,, North Kansas City	cerner|corporation|north|kansas|city	cerner|corporation|north|kansas|city	1.0	False
83	60014198	New Zealand	Lincoln	60015346	New Zealand	Lincoln	AgResearch Lincoln, Lincoln	AgResearch, Lincoln	agresearch|lincoln|lincoln	agresearch|lincoln	1.0	False
84	60015346	New Zealand	Lincoln	60014198	New Zealand	Lincoln	AgResearch, Lincoln	AgResearch Lincoln, Lincoln	agresearch|lincoln	agresearch|lincoln|lincoln	1.0	False
85	60011531	United States	Collegeville	60317654	United States	Collegeville	Rhone-Poulenc Rorer Inc, Collegeville	Rhone-Poulenc Rorer, Collegeville	rhone|poulenc|rorer|collegeville	rhone|poulenc|rorer|collegeville	1.0	False
86	60011920	United States	Pittsburgh	60295418	United States	Pittsburgh	Cellomics, Inc., Pittsburgh	Cellomics Inc., Pittsburgh	cellomics|pittsburgh	cellomics|pittsburgh	1.0	False
87	60009742	United States	Burlington	60000856	United States	Burlington	University of Vermont Medical Center, Burlington	University of Vermont Medical Center, Burlington	university|vermont|medical|center|burlington	university|vermont|medical|center|burlington	1.0	False
88	60007572	Chile	Osorno	60029954	Chile	Osorno	Universidad de Los Lagos, Osorno	Universidad de Los Lagos, Osorno, Osorno	universidad|de|los|lagos|osorno	universidad|de|los|lagos|osorno|osorno	1.0	False
89	60007885	United States	Reno	60032588	United States	Reno	University of Nevada Cooperative Extension, Reno	University Nevada Cooperative Extension Reno, Reno	university|nevada|cooperative|extension|reno	university|nevada|cooperative|extension|reno|reno	1.0	False
90	60012683	Chile	Concepcion	60023195	Chile	Concepcion	Universidad del Bio Bio, Concepcion, Concepcion	Universidad del Bio Bio, Concepcion	universidad|del|bio|bio|concepcion|concepcion	universidad|del|bio|bio|concepcion	1.0	False
91	60006873	United States	Reno	60280026	United States	Reno	University of Nevada, Reno School of Medicine, Reno	University of Nevada School of Medicine, Reno	university|nevada|reno|school|medicine|reno	university|nevada|school|medicine|reno	1.0	False
92	60009695	Not Define (xd)		60028150	Not Define (xd)		Graduate School of Engineering Science, 	Graduate School of Science and Engineering, 	graduate|school|engineering|science	graduate|school|science|engineering	1.0	False
93	60000856	United States	Burlington	60009742	United States	Burlington	University of Vermont Medical Center, Burlington	University of Vermont Medical Center, Burlington	university|vermont|medical|center|burlington	university|vermont|medical|center|burlington	1.0	False
94	60004135	France	Clermont-Ferrand	60138276	France	Clermont-Ferrand	University of Auvergne, Clermont-Ferrand	University of Clermont Auvergne, Clermont-Ferrand	university|auvergne|clermont|ferrand	university|clermont|auvergne|clermont|ferrand	1.0	False
95	60012464	Chile	Santiago	60023383	Chile	Santiago	Universidad de Chile, Santiago	Universidad de Santiago de Chile, Santiago	universidad|de|chile|santiago	universidad|de|santiago|de|chile|santiago	1.0	False
96	60012464	Chile	Santiago	60023383	Chile	Santiago	University of Chile, Santiago	University of Santiago, Chile, Santiago	university|chile|santiago	university|santiago|chile|santiago	1.0	False
97	60004715	United States	Redlands	60297983	United States	Redlands	ESRI, Redlands	Esri, Redlands	esri|redlands	esri|redlands	1.0	False
98	60001499	Germany	Bremen	60111807	Germany	Bremen	Hochschule für Künste Bremen, Bremen	Hochschule für Künste, Bremen	hochschule|f|r|k|nste|bremen|bremen	hochschule|f|r|k|nste|bremen	1.0	False
99	60001588	Australia	North Sydney	60082306	Australia	North Sydney	NSW Health, North Sydney	NSW Health, North Sydney	nsw|health|north|sydney	nsw|health|north|sydney	1.0	False
100	60010765	United States	Rindge	60030997	United States	Rindge	Franklin Pierce College Rindge, Rindge	Franklin Pierce College, Rindge	franklin|pierce|college|rindge|rindge	franklin|pierce|college|rindge	1.0	False
101	60003678	United States	Reno	60023439	United States	Reno	Desert Research Institute Reno, Reno	Desert Research Institute, Reno	desert|research|institute|reno|reno	desert|research|institute|reno	1.0	False
102	60015662	Russia	Saint Petersburg (ex Leningrad)	60115293	Russia	Saint Petersburg (ex Leningrad)	Leningrad State Pedagogical Institute, Saint Petersburg (ex Leningrad)	Leningrad State Pedagogical Institute, Saint Petersburg (ex Leningrad)	leningrad|state|pedagogical|institute|saint|petersburg|ex|leningrad	leningrad|state|pedagogical|institute|saint|petersburg|ex|leningrad	1.0	False
103	60008787	United States	St. Louis	60300203	United States	St. Louis	Emerson Electric, St. Louis	Emerson Electric Co., St. Louis	emerson|electric|st|louis	emerson|electric|st|louis	1.0	False
104	60006625	New Zealand	Lincoln	60170158	United States	Lincoln	Lincoln University, Lincoln	Lincoln University, Lincoln	lincoln|university|lincoln	lincoln|university|lincoln	1.0	False
105	60012675	United States	McMinnville	60027633	United States	McMinnville	Linfield College, McMinnville	Linfield College McMinnville, McMinnville	linfield|college|mcminnville	linfield|college|mcminnville|mcminnville	1.0	False
106	60001344	United States	Boston	60304205	United States	Boston	Tufts Medical Center, Boston	Tufts Medical Center, Inc., Boston	tufts|medical|center|boston	tufts|medical|center|boston	1.0	False
107	60005619	New Zealand	Lincoln	60170158	United States	Lincoln	Lincoln College, Lincoln	Lincoln College, Lincoln	lincoln|college|lincoln	lincoln|college|lincoln	1.0	False
108	60002637	Ukraine	Kharkiv	60073873	Ukraine	Kharkiv	Kharkiv Pharmaceutical Institute, Kharkiv	Kharkiv Pharmaceutical Institute, Kharkiv	kharkiv|pharmaceutical|institute|kharkiv	kharkiv|pharmaceutical|institute|kharkiv	1.0	False
109	60007790	Iran	Tehran	60025392	Iran	Tehran	School of Medicine, Tehran	School of Medicine, Tehran	school|medicine|tehran	school|medicine|tehran	1.0	False
110	60003272	Spain	Bellaterra	60116924	Spain	Bellaterra	Centre de Recerca Matemática, Bellaterra	Centre de Recerca Matemàtica, Bellaterra	centre|de|recerca|matem|tica|bellaterra	centre|de|recerca|matem|tica|bellaterra	1.0	False
111	60008688	Not Define (xd)		60022516	Not Define (xd)		Department of Materials Engineering, 	Department of Engineering Materials, 	department|materials|engineering	department|engineering|materials	1.0	False
112	60014772	United States	Columbia	60031665	United States	Columbia	Department of Statistics, Columbia	Department of Statistics, Columbia	department|statistics|columbia	department|statistics|columbia	1.0	False
113	60013862	United States	Chicago	60023344	United States	Chicago	Department of Pharmacology, Chicago	Department of Pharmacology, Chicago	department|pharmacology|chicago	department|pharmacology|chicago	1.0	False
114	60009281	United States	Chicago	60032488	United States	Chicago	Department of Surgery, Chicago	Department of Surgery, Chicago	department|surgery|chicago	department|surgery|chicago	1.0	False
115	60009281	United States	Chicago	60147441	United States	Chicago	Department of Surgery, Chicago	Department of Surgery, Chicago	department|surgery|chicago	department|surgery|chicago	1.0	False
116	60002444	Not Define (xd)		60021856	Not Define (xd)		Department of Molecular Genetics and Microbiology, 	Department of Microbiology and Molecular Genetics, 	department|molecular|genetics|microbiology	department|microbiology|molecular|genetics	1.0	False
117	60013047	Not Define (xd)		60104742	Not Define (xd)		Department of Computer Science and Information Engineering, 	Department of Computer Engineering and Information Science, 	department|computer|science|information|engineering	department|computer|engineering|information|science	1.0	False
118	60001220	Not Define (xd)		60079935	Not Define (xd)		Department of Industrial Chemistry, 	Department of Chemistry and Industrial Chemistry, 	department|industrial|chemistry	department|chemistry|industrial|chemistry	1.0	False
119	60005618	Mexico	Mexicali	60027808	Mexico	Mexicali	Autonomous University of Baja California, Mexicali	Autonomous University of Baja California, Mexicali, Mexicali	autonomous|university|baja|california|mexicali	autonomous|university|baja|california|mexicali|mexicali	1.0	False
120	60008523	Germany	Berlin	60116832	Germany	Berlin	Leibniz Gemeinschaft, Berlin	Leibniz-Gemeinschaft, Berlin	leibniz|gemeinschaft|berlin	leibniz|gemeinschaft|berlin	1.0	False
121	60008523	Germany	Berlin	60116832	Germany	Berlin	Leibniz Association, Berlin	Leibniz Association, Berlin	leibniz|association|berlin	leibniz|association|berlin	1.0	False
122	60008523	Germany	Berlin	60116832	Germany	Berlin	Leibniz-Gemeinschaft, Berlin	Leibniz-Gemeinschaft, Berlin	leibniz|gemeinschaft|berlin	leibniz|gemeinschaft|berlin	1.0	False
123	60002716	Japan	Kariya	60297014	Japan	Kariya	Aisin Seiki, Kariya	Aisin Seiki Co., Ltd., Kariya	aisin|seiki|kariya	aisin|seiki|kariya	1.0	False
124	60007080	United States	Springfield	60100747	United States	Springfield	St. John's Hospital, Springfield	St. John's Hospital, Springfield	st|john|s|hospital|springfield	st|john|s|hospital|springfield	1.0	False
125	60015574	United States	Knoxville	60016429	United States	Knoxville	UT Knoxville, Knoxville	UT, Knoxville	ut|knoxville|knoxville	ut|knoxville	1.0	False
126	60310505	Japan	Tokyo	60014636	Japan	Tokyo	Kyowa Hakko Kirin Co Ltd, Tokyo	Kyowa Hakko Kirin Co., Ltd, Tokyo	kyowa|hakko|kirin|tokyo	kyowa|hakko|kirin|tokyo	1.0	False
127	60288614	France	Palaiseau	60019904	France	Palaiseau	École Nationale Supérieure de Techniques Avancées, Palaiseau	École Nationale Supérieure de Techniques Avancées, Palaiseau	cole|nationale|sup|rieure|de|techniques|avanc|es|palaiseau	cole|nationale|sup|rieure|de|techniques|avanc|es|palaiseau	1.0	False
128	60310371	Qatar	Doha	60197143	Qatar	Doha	College of Law, Doha	College of Law, Doha	college|law|doha	college|law|doha	1.0	False
129	60318502	Japan	Kyoto	60310504	Japan	Kyoto	Kyoto Monotech, Kyoto	Kyoto Monotech Co., Ltd, Kyoto	kyoto|monotech|kyoto	kyoto|monotech|kyoto	1.0	False
130	60288449	India	Pune	60076426	India	Pune	College of Engineering, Pune, Pune	College of Engineering, Pune	college|engineering|pune|pune	college|engineering|pune	1.0	False
131	60310504	Japan	Kyoto	60318502	Japan	Kyoto	Kyoto Monotech Co., Ltd, Kyoto	Kyoto Monotech, Kyoto	kyoto|monotech|kyoto	kyoto|monotech|kyoto	1.0	False
132	60311368	Germany	Leipzig	60308992	Germany	Leipzig	AMP Therapeutics GmbH, Leipzig	AMP-Therapeutics GmbH, Leipzig	amp|therapeutics|gmbh|leipzig	amp|therapeutics|gmbh|leipzig	1.0	False
133	60308992	Germany	Leipzig	60311368	Germany	Leipzig	AMP-Therapeutics GmbH, Leipzig	AMP Therapeutics GmbH, Leipzig	amp|therapeutics|gmbh|leipzig	amp|therapeutics|gmbh|leipzig	1.0	False
134	60320585	United States	San Diego	60323884	United States	San Diego	NAT Diagnostics, Inc., San Diego	Nat Diagnostics, Inc., San Diego	nat|diagnostics|san|diego	nat|diagnostics|san|diego	1.0	False
135	60288614	France	Palaiseau	60019904	France	Palaiseau	National School of Advanced Techniques, Palaiseau	National School of Advanced Techniques, Palaiseau	national|school|advanced|techniques|palaiseau	national|school|advanced|techniques|palaiseau	1.0	False
136	60279516	Pakistan	Islamabad	60070603	Pakistan	Islamabad	National University of Computer and Emerging Sciences, Islamabad	National University of Computer and Emerging Sciences Islamabad, Islamabad	national|university|computer|emerging|sciences|islamabad	national|university|computer|emerging|sciences|islamabad|islamabad	1.0	False
137	60323890	United States	Boca Raton	60297063	United States	Boca Raton	Nature's Best Defense, LLC, Boca Raton	Nature's Best Defense LLC, Boca Raton	nature|s|best|defense|llc|boca|raton	nature|s|best|defense|llc|boca|raton	1.0	False
